sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
1,70,Black footed Albatross,Green Violetear,0.36122285452006553,0.0006229082431437652,9,13,11,0.36064232651441364,0.362027504887238,0.0,579.8973731943358,long wingspan,191
1,71,Black footed Albatross,Long tailed Jaeger,0.0195470361080264,0.0050214328312292835,3,19,10,0.014231726317806387,0.023242248779840834,0.0,3.892720815175859,long wingspan,191
1,142,Black footed Albatross,Black Tern,0.05583590548671935,0.0008584775237455184,3,15,11,0.055086086334596274,0.056701675570578494,0.0,65.04061420043698,long wingspan,191
1,144,Black footed Albatross,Common Tern,0.09505861395483543,0.0007676259304185155,3,14,11,0.09423783702892352,0.0955383608172414,0.0,123.83455282597632,long wingspan,191
2,1,Laysan Albatross,Black footed Albatross,0.06733767591655482,0.0008584879439996019,3,15,11,0.06658791463294467,0.06820349508044349,0.0,78.43753230173319,long wingspan,191
2,28,Laysan Albatross,Brown Creeper,0.38287064368666784,0.007739864290309966,6,11,15,0.3741197312014218,0.39142318288838956,0.0,49.467358764486455,long wingspan,191
2,62,Laysan Albatross,Herring Gull,0.08213363672978598,0.007426253889904631,3,12,15,0.07717225279881075,0.09006106105194708,0.0,11.05990152456003,long wingspan,191
2,67,Laysan Albatross,Anna Hummingbird,0.2036479304877706,0.005828956318793575,3,10,15,0.1988006941399188,0.20964838122608276,0.0,34.93728882411364,long wingspan,191
2,68,Laysan Albatross,Ruby throated Hummingbird,0.11863977115560664,0.004119374810933782,3,13,15,0.11544170791843959,0.12296065380260329,0.0,28.800431272218432,long wingspan,191
2,71,Laysan Albatross,Long tailed Jaeger,0.05448244713126379,0.005112186983561183,3,15,10,0.04908133125824168,0.058294539202586274,0.0,10.657365878008942,long wingspan,191
2,92,Laysan Albatross,Nighthawk,0.1101048128531209,0.004119407624886492,3,13,15,0.10690669856020948,0.11442572269571437,0.0,26.72831213915774,long wingspan,191
2,143,Laysan Albatross,Caspian Tern,0.018766945521322114,0.004855864078867004,3,15,14,0.014072026276130533,0.023292328997026473,0.0,3.8648004171146644,long wingspan,191
2,144,Laysan Albatross,Common Tern,0.02946616132143916,0.006322776382822576,3,14,15,0.024498785214773583,0.03608100352221501,0.0,4.660320013345898,long wingspan,191
2,146,Laysan Albatross,Forsters Tern,0.01642969414974001,0.008653431344878127,3,11,15,0.008294863243928191,0.024733142346547585,0.0,1.8986334429712595,long wingspan,191
3,1,Sooty Albatross,Black footed Albatross,0.004646521373504815,0.0019333473211388932,6,16,11,0.0024386284689428273,0.006758533558604007,0.0,2.403355734532114,long wingspan,191
3,28,Sooty Albatross,Brown Creeper,0.44813377172708974,0.0060970877808460295,3,11,12,0.4416769953993668,0.4526056897715371,0.0,73.49964241312058,long wingspan,191
3,67,Sooty Albatross,Anna Hummingbird,0.26788539667225714,0.007007182624755858,3,10,12,0.26039644057010947,0.2724087181966011,0.0,38.23011486636693,long wingspan,191
3,92,Sooty Albatross,Nighthawk,0.1705136860743165,0.004047557887563636,3,13,12,0.16624026193562327,0.1735451510627268,0.0,42.12754721954749,long wingspan,191
3,141,Sooty Albatross,Artic Tern,0.10500162379394073,0.00626741587445728,6,10,12,0.09693488711631582,0.10957946133265761,0.0,16.753575298093594,long wingspan,191
3,142,Sooty Albatross,Black Tern,0.054808516425155274,0.0030002139770069726,3,15,12,0.05223267298499781,0.05785865233493669,0.0,18.26820247719941,long wingspan,191
3,146,Sooty Albatross,Forsters Tern,0.04883343389068188,0.006097087780846033,3,11,12,0.04237665756295889,0.05330535193512918,0.0,8.009304710370504,long wingspan,191
25,68,Pelagic Cormorant,Ruby throated Hummingbird,0.11364574213934624,1.4841949088946777e-07,3,13,17,0.11364558551053179,0.1136458536255229,0.0,765701.1606569937,long wingspan,191
25,70,Pelagic Cormorant,Green Violetear,0.2979012377654518,1.0057052128365641e-07,3,13,17,0.2979011303462794,0.29790129582986935,0.0,2962083.440353237,long wingspan,191
25,142,Pelagic Cormorant,Black Tern,0.007720544773599958,0.0042119930954566485,6,13,15,0.0049175395136557,0.01315732662932112,0.0,1.8329908422914767,long wingspan,191
25,143,Pelagic Cormorant,Caspian Tern,0.022473442288099665,0.00778475405923104,6,13,14,0.013911022223696778,0.03131170363490421,0.0,2.8868532151717954,long wingspan,191
25,145,Pelagic Cormorant,Elegant Tern,0.01540284885045832,0.008706168111923618,3,13,16,0.006157382527148397,0.02164037679052671,0.0,1.7691880802983817,long wingspan,191
28,108,Brown Creeper,White necked Raven,0.313065676622902,2.7958869759464428e-08,3,11,18,0.313065660480841,0.3130657064857148,0.0,11196964.768297218,long wingspan,191
28,110,Brown Creeper,Geococcyx,0.08638444005925477,0.009672488099499619,3,11,17,0.07621920105494258,0.09382205201201167,0.0,8.930943017111876,long wingspan,191
28,141,Brown Creeper,Artic Tern,0.33830427611096564,0.019483576292158775,3,10,18,0.3270554280939112,0.3591146449425165,0.0,17.363561546437122,long wingspan,191
62,2,Herring Gull,Laysan Albatross,0.08213363672978598,0.006642243406399597,6,12,15,0.07709478308053563,0.0906619496627844,0.0,12.365345816488356,long wingspan,191
62,25,Herring Gull,Pelagic Cormorant,0.0792123735063736,0.00613392868083125,3,12,17,0.07487127299714619,0.08573426118094624,0.0,12.91380738432798,long wingspan,191
62,28,Herring Gull,Brown Creeper,0.3108580458118803,0.003390390885322029,3,11,18,0.30723677337995914,0.3128155377779223,0.0,91.68796644244935,long wingspan,191
62,71,Herring Gull,Long tailed Jaeger,0.12187474127532494,0.004969249452316649,9,12,10,0.11571544544185741,0.1270690742638061,0.0,24.52578451137757,long wingspan,191
62,144,Herring Gull,Common Tern,0.04539808529571158,0.006909611952915675,3,12,16,0.0386322894548352,0.051734171890452686,0.0,6.570280009716681,long wingspan,191
62,145,Herring Gull,Elegant Tern,0.06014453980820211,0.009679451336408455,3,12,16,0.05396277442467686,0.07049173949570192,0.0,6.213631094539395,long wingspan,191
62,146,Herring Gull,Forsters Tern,0.08844229202452762,0.0030324577959503084,6,11,18,0.08648479462781955,0.09235717820462286,0.0,29.16521776938579,long wingspan,191
