sid_A,sid_B,concept_idx,concept,shift_B_fwd,shift_A_fwd,shift_A_bwd,shift_B_bwd,leakage_fwd,leakage_bwd,leakage_sym,n_A,n_B,part
30,31,4,eye_0,1.6794067505543353e-06,0.0017711460823193192,-3.862301127810497e-06,-0.0009424329036846757,-0.001769466675568765,0.0009385706025568652,-0.00041544803650594986,10,10,eye
30,34,4,eye_0,-1.2015004813292762e-06,0.0015181958442553878,2.2471211195806973e-05,0.04503066837787628,-0.001519397344736717,-0.045008197166680475,-0.023263797255708596,10,10,eye
30,35,4,eye_0,-9.661507505143163e-08,0.003125774906948209,-9.585479965323884e-09,-0.0005006134742870927,-0.0031258715220232602,0.0005006038888071274,-0.0013126338166080664,10,10,eye
30,45,4,eye_0,-1.590088416492108e-08,0.0020917593501508236,-1.7064779967768118e-05,-0.0002254724531667307,-0.0020917752510349885,0.00020840767319896258,-0.000941683788918013,10,10,eye
30,46,4,eye_0,2.597813818283612e-06,0.002146208193153143,3.149715485051274e-05,0.009463253431022167,-0.0021436103793348593,-0.009431756276171654,-0.005787683327753257,10,10,eye
30,48,4,eye_0,-0.00018841335258912295,0.0031408786308020353,-7.587737491121516e-05,-0.003181900829076767,-0.0033292919833911583,0.003106023454165552,-0.00011163426461280324,10,10,eye
30,49,4,eye_0,3.9267433055156786e-11,0.003151631448417902,-4.137480580368447e-09,-0.001332658575847745,-0.003151631409150469,0.0013326544383671646,-0.0009094884853916522,10,10,eye
31,34,4,eye_0,7.974947635602803e-08,-0.001315897679887712,4.81336314805958e-07,0.04541092738509178,0.001315977429364068,-0.045410446048776976,-0.022047234309706454,10,10,eye
31,35,4,eye_0,-8.02803228339144e-08,0.000619566417299211,-1.487896383878251e-08,-0.0005443990230560303,-0.0006196466976220449,0.0005443841440921915,-3.7631276764926724e-05,10,10,eye
31,45,4,eye_0,1.5969889943789894e-07,-0.0006609976408071816,-0.0005454868078231812,-0.0004363417683634907,0.0006611573397066195,-0.00010914503945969045,0.0002760061501234645,10,10,eye
31,46,4,eye_0,-5.566777261378775e-08,-0.0005819797515869141,4.860260194305965e-09,0.010320574045181274,0.0005819240838143003,-0.01032056918492108,-0.00486932255055339,10,10,eye
31,48,4,eye_0,-2.8729925105608345e-08,0.0006376266246661544,-6.510483217425644e-06,-0.00342916464433074,-0.00063765535459126,0.0034226541611133143,0.0013924994032610272,10,10,eye
31,49,4,eye_0,-4.168477829580297e-08,0.0006503045442514122,-2.9340532137211994e-07,-0.001431107521057129,-0.000650346229029708,0.0014308141157357568,0.0003902339433530244,10,10,eye
34,35,4,eye_0,4.920593710266985e-07,0.05143919587135315,9.320363574261137e-07,-0.0006622612709179521,-0.05143870381198212,0.0006631933072753782,-0.025387755252353372,10,10,eye
34,45,4,eye_0,1.9313595203129807e-06,0.04425214231014252,-9.013957225079139e-08,-0.001170164323411882,-0.044250210950622204,0.0011700741838396311,-0.021540068383391286,10,10,eye
34,46,4,eye_0,1.754974073264748e-05,0.0469011589884758,2.0211567971273325e-05,0.007783567998558283,-0.04688360924774315,-0.0077633564305870095,-0.02732348283916508,10,10,eye
34,48,4,eye_0,2.8163962269900367e-05,0.051578424870967865,-2.0957028027623892e-05,-0.004030430223792791,-0.051550260908697965,0.0040094731957651675,-0.0237703938564664,10,10,eye
34,49,4,eye_0,1.5358316431957064e-06,0.051679689437150955,2.8415595210162792e-08,-0.0016988813877105713,-0.05167815360550776,0.0016989098033057815,-0.02498962190110099,10,10,eye
35,45,4,eye_0,-2.863489534377095e-08,-0.00037257670192047954,5.169813377392529e-08,0.004092484712600708,0.00037254806702513577,-0.004092433014466934,-0.0018599424737208992,10,10,eye
35,46,4,eye_0,-6.035690489625267e-07,-0.00039023757562972605,8.583042472309899e-06,0.04177839308977127,0.0003896340065807635,-0.04176981004729896,-0.0206900880203591,10,10,eye
35,48,4,eye_0,-2.988344860455072e-08,6.067753020033706e-06,-3.857550723296299e-07,8.956342753663193e-06,-6.097636468638257e-06,-9.342097825992823e-06,-7.71986714731554e-06,10,10,eye
35,49,4,eye_0,2.443193736212379e-08,9.381770723848604e-06,7.329263240762884e-08,-1.6003847122192383e-05,-9.35733878648648e-06,1.607713975460001e-05,3.359900484056766e-06,10,10,eye
45,46,4,eye_0,-3.710115379362833e-07,0.0007312357192859054,1.8411235487292288e-06,0.008477544412016869,-0.0007316067308238416,-0.00847570328846814,-0.0046036550096459905,10,10,eye
45,48,4,eye_0,-9.647476417740108e-08,0.004135632421821356,-0.0002932450152002275,-0.0022616505157202482,-0.004135728896585533,0.0019684055005200207,-0.0010836616980327562,10,10,eye
45,49,4,eye_0,2.097680771839805e-05,0.0041647376492619514,8.058908861130476e-05,-0.0010060906643047929,-0.004143760841543553,0.0010866797529160976,-0.0015285405443137279,10,10,eye
46,48,4,eye_0,0.0019064737716689706,0.04246752709150314,-0.00797453336417675,-0.0026427798438817263,-0.04056105331983417,-0.005331753520295024,-0.0229464034200646,10,10,eye
46,49,4,eye_0,1.174534759229573e-06,0.042980801314115524,-2.2436097424360923e-07,-0.0010629475582391024,-0.042979626779356295,0.0010627231972648588,-0.020958451791045718,10,10,eye
48,49,4,eye_0,-1.2006530596408993e-06,5.852431058883667e-06,8.482264206577383e-07,-6.9141387939453125e-06,-7.053084118524566e-06,7.76236521460305e-06,3.546405480392423e-07,10,10,eye
1,4,5,eye_1,-1.1011884459843913e-10,-0.0011419057846069336,-5.093184540783113e-07,3.2335519790649414e-05,0.001141905674488089,-3.2844838244727725e-05,0.0005545304181216806,10,10,eye
1,9,5,eye_1,-4.0654884969626437e-07,0.001713573932647705,-2.1990508969338407e-07,-1.3113021850585938e-06,-0.0017139804814974013,1.0913970953652097e-06,-0.0008564445422010181,10,10,eye
1,14,5,eye_1,-6.974051757424604e-06,0.0017025887500494719,-1.350095135421725e-05,-0.00019840597815345973,-0.0017095628018068965,0.00018490502679924248,-0.000762328887503827,10,10,eye
1,21,5,eye_1,7.07619619788602e-07,0.0014854192268103361,3.2086080636872794e-07,-0.0009269356960430741,-0.0014847116071905475,0.0009272565568494429,-0.0002787275251705523,10,10,eye
1,23,5,eye_1,-1.1709881064803085e-08,-0.008831506595015526,-9.231452224867098e-08,0.0028487027157098055,0.008831494885134461,-0.002848795030232054,0.0029913499274512034,10,10,eye
1,26,5,eye_1,-2.6032854094637514e-08,0.0017128705512732267,-3.733664399874215e-08,-0.00018853545770980418,-0.0017128965841273214,0.00018849812106580544,-0.000762199231530758,10,10,eye
