sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
16,24,7,3,0.05830931979107845,-0.3030867576599121,-0.5085496783256531,0.5859051456674933,,0.029154659895539226,tail
17,40,2,5,7.208972007788362e-07,-0.06058073043823242,-0.861373907327652,0.21033857953734697,,3.604486003894181e-07,tail
17,42,2,0,0.0006474953908764292,-0.08121364116668701,-0.4954894781112671,0.7480878383503295,,0.0003237476954382146,tail
18,30,8,4,0.008067933435086161,-0.6170920550823211,-0.8731711804866791,0.5155580889433622,,0.0040339667175430804,tail
19,28,4,0,1.4509602843304492e-05,-0.023033773899078368,-0.8183403968811035,0.008834412107501067,,7.254801421652246e-06,tail
19,36,4,8,0.006378827467960946,-0.07631235122680664,-0.6245532274246216,0.9609270453453064,,0.003189413733980473,tail
19,44,4,6,0.04579384433018276,-0.06363532543182374,-0.6849676966667175,0.19408504758030176,,0.02289692216509138,tail
20,40,1,5,0.018096724210772665,-0.10779067277908325,-0.539632324874401,0.6073780856910161,,0.009048362105386332,tail
20,49,1,3,3.0767824910071795e-05,-0.029244625568389894,-0.3571179512888193,0.11558601438264304,,1.5383912455035897e-05,tail
21,29,3,1,0.00012150384143296832,-0.19031776189804078,-0.2229357361793518,0.42055175378918647,,6.075192071648416e-05,tail
21,30,3,4,9.666329157198561e-06,-0.0323790431022644,-0.08502724170684814,0.34548161216080187,,4.833164578599281e-06,tail
21,36,3,8,6.002980728680995e-06,-0.44784705638885497,-0.849799919128418,0.8702049076557159,,3.0014903643404977e-06,tail
21,47,3,8,0.00044761626813851765,-0.44784705638885497,-0.849799919128418,0.8702049076557159,,0.00022380813406925882,tail
22,39,1,2,0.011626294115558267,-0.3074422091245651,-0.40474494397640226,0.21704742442816496,,0.005813147057779133,tail
22,41,1,6,0.0378195732831955,-0.3215670585632324,-0.4510518729686737,0.3644838623062242,,0.01890978664159775,tail
22,42,1,0,3.0255341880547348e-05,0.0057927131652832035,-0.3574940741062164,0.41407399424351754,,1.5127670940273674e-05,tail
22,45,1,6,0.0002153809155061026,-0.3215670585632324,-0.4510518729686737,0.3644838623062242,,0.0001076904577530513,tail
23,28,5,0,0.0004341813317296328,-0.013079571723937988,-0.3049215316772461,7.185103867755061e-05,,0.0002170906658648164,tail
24,30,3,4,0.00011556856916286051,0.006849229335784912,-0.13635609149932862,0.01754594569138135,,5.7784284581430254e-05,tail
24,37,3,2,3.4997967162553325e-06,-0.0855823040008545,-0.3071098327636719,0.27558739560190587,,1.7498983581276662e-06,tail
24,41,3,6,9.794810072349946e-07,-0.06290987730026246,-0.37916897535324096,0.0008575039278079105,,4.897405036174973e-07,tail
26,35,5,2,0.00038543616556125927,-0.007613146305084228,-0.5262886047363281,0.013698807694618153,,0.00019271808278062963,tail
26,42,5,0,0.0007966069602161951,-0.06280670166015626,-0.8097681641578675,0.18954469606578642,,0.00039830348010809756,tail
26,43,5,2,1.4287109422639332e-06,-0.007613146305084228,-0.5262886047363281,0.013698807694618153,,7.143554711319666e-07,tail
27,34,3,2,1.1683476850521402e-05,-0.5519666075706482,-0.9254408597946167,0.3586087912321091,,5.841738425260701e-06,tail
