sid_A,part,drop_A
20,eye,-0.6420607566833496
20,eye,-0.19516044855117798
20,eye,-0.7615248560905457
16,eye,0.00035303831100463867
16,eye,0.00042754411697387695
16,eye,-0.00037932395935058594
16,eye,-0.0005803704261779785
16,eye,-0.0010632872581481934
11,eye,-0.2714396119117737
11,eye,-0.018572628498077393
11,eye,-0.04883295297622681
11,eye,0.02512037754058838
11,eye,-0.28401726484298706
44,eye,-0.04772639274597168
44,eye,-0.4071339964866638
44,eye,-0.05043339729309082
44,eye,-0.09806478023529053
44,eye,-0.03831756114959717
5,eye,-0.01780456304550171
5,eye,-0.08563399314880371
5,eye,-0.2731640934944153
5,eye,-0.022970855236053467
5,eye,-0.005353271961212158
12,eye,-0.010335385799407959
12,eye,-0.0014553070068359375
12,eye,-0.06522947549819946
12,eye,-0.01585489511489868
12,eye,0.003895998001098633
38,eye,-0.012456834316253662
38,eye,-0.6488254070281982
38,eye,-0.012765884399414062
38,eye,-0.0011488795280456543
38,eye,-0.04350876808166504
13,eye,-0.012480616569519043
13,eye,-0.00020170211791992188
13,eye,-0.0029338598251342773
13,eye,-0.001941084861755371
13,eye,0.0017442703247070312
1,eye,-0.060238420963287354
1,eye,-0.011214494705200195
1,eye,-0.26175475120544434
1,eye,-0.8843435049057007
1,eye,-0.003580629825592041
17,eye,-0.015852391719818115
17,eye,-0.32070988416671753
17,eye,-0.017373204231262207
17,eye,-0.006678760051727295
17,eye,-0.0033672451972961426
10,eye,-0.04822617769241333
10,eye,-0.033702850341796875
10,eye,-0.0011633634567260742
10,eye,-0.035563528537750244
10,eye,-0.0812639594078064
41,eye,0.0014181137084960938
41,eye,-0.03140294551849365
41,eye,0.008311867713928223
41,eye,0.0015625953674316406
41,eye,0.015199661254882812
5,wing,-0.6839348077774048
5,wing,-0.07352769374847412
5,wing,-0.7070624828338623
5,wing,-0.3798062205314636
5,wing,-0.15278327465057373
47,wing,-0.06334483623504639
47,wing,-0.010951459407806396
47,wing,-0.007802307605743408
47,wing,-0.06763029098510742
47,wing,-0.19267427921295166
0,wing,-0.13864034414291382
0,wing,-0.07691925764083862
0,wing,-0.017054378986358643
0,wing,-0.01649564504623413
0,wing,-0.021737635135650635
30,wing,-0.6041275262832642
30,wing,-0.5573524236679077
30,wing,-0.918038547039032
30,wing,-0.02898305654525757
30,wing,-0.6713322401046753
24,wing,-0.771965503692627
24,wing,-0.561142086982727
24,wing,-0.36756694316864014
24,wing,-0.5461350083351135
24,wing,-0.572339653968811
32,wing,-0.015721023082733154
32,wing,-0.006097137928009033
32,wing,0.005172073841094971
32,wing,-0.009205222129821777
32,wing,-0.00483548641204834
7,wing,-0.5351278781890869
7,wing,-0.2112724781036377
7,wing,-0.035209476947784424
7,wing,-0.005800604820251465
7,wing,-0.617516279220581
20,wing,-0.07594776153564453
20,wing,-0.5172030925750732
20,wing,-0.5178515911102295
20,wing,-0.2586953639984131
20,wing,-0.5399181246757507
6,wing,-0.014667093753814697
6,wing,-0.005353212356567383
6,wing,-0.0030924081802368164
6,wing,-8.106231689453125e-06
6,wing,-1.1265277862548828e-05
28,wing,-0.022777676582336426
28,wing,-0.00757908821105957
28,wing,-0.011409759521484375
28,wing,-0.16423560678958893
28,wing,-0.007934629917144775
48,wing,-0.038449883460998535
48,wing,0.06754128634929657
48,wing,-0.2561648488044739
48,wing,-0.2870236933231354
48,wing,0.17155113816261292
49,wing,-0.018708646297454834
49,wing,-0.015080392360687256
49,wing,-0.6052663326263428
49,wing,-0.5942573547363281
49,wing,-0.36553114652633667
3,wing,-0.6345453262329102
3,wing,-0.6279705762863159
3,wing,-0.6640494465827942
3,wing,-0.39368030428886414
3,wing,-0.6759775876998901
34,wing,-0.08961957693099976
34,wing,-0.385800838470459
34,wing,-0.014206171035766602
34,wing,-0.351274311542511
34,wing,-0.6398581266403198
27,wing,-0.00048238039016723633
27,wing,1.7285346984863281e-06
27,wing,-0.017665863037109375
27,wing,-0.0001081228256225586
27,wing,-0.18190807104110718
2,wing,-0.0029287338256835938
2,wing,0.005362868309020996
2,wing,-0.004640758037567139
2,wing,-0.002164125442504883
2,wing,-0.1460762619972229
