species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
34,Gray crowned Rosy Finch,29,6,1,23,0.20689655172413793,0,0.0,has_upper_tail_color::white,baseline
3,Sooty Albatross,28,1,1,27,0.03571428571428571,1,1.0,has_upper_tail_color::white,baseline
15,Lazuli Bunting,28,1,0,27,0.03571428571428571,0,0.0,has_upper_tail_color::white,baseline
16,Painted Bunting,28,0,0,28,0.0,0,,has_upper_tail_color::white,baseline
58,Pigeon Guillemot,28,4,1,24,0.14285714285714285,0,0.0,has_upper_tail_color::white,baseline
17,Cardinal,27,0,0,27,0.0,0,,has_upper_tail_color::white,baseline
75,Green Jay,27,0,0,27,0.0,0,,has_upper_tail_color::white,baseline
178,Swainson Warbler,26,0,0,26,0.0,0,,has_upper_tail_color::white,baseline
12,Yellow headed Blackbird,26,0,0,26,0.0,0,,has_upper_tail_color::white,baseline
22,Chuck will Widow,26,2,0,24,0.07692307692307693,0,0.0,has_upper_tail_color::white,baseline
7,Parakeet Auklet,23,1,1,22,0.043478260869565216,0,0.0,has_upper_tail_color::white,baseline
84,Red legged Kittiwake,23,11,18,12,0.4782608695652174,10,0.9090909090909091,has_upper_tail_color::white,baseline
32,Mangrove Cuckoo,23,1,0,22,0.043478260869565216,0,0.0,has_upper_tail_color::white,baseline
24,Red faced Cormorant,22,0,0,22,0.0,0,,has_upper_tail_color::white,baseline
151,Black capped Vireo,21,2,0,19,0.09523809523809523,0,0.0,has_upper_tail_color::white,baseline
113,Baird Sparrow,20,2,0,18,0.1,0,0.0,has_upper_tail_color::white,baseline
187,American Three toed Woodpecker,20,4,3,16,0.2,1,0.25,has_upper_tail_color::white,baseline
65,Slaty backed Gull,20,14,13,6,0.7,12,0.8571428571428571,has_upper_tail_color::white,baseline
101,White Pelican,20,12,17,8,0.6,10,0.8333333333333334,has_upper_tail_color::white,baseline
105,Whip poor Will,19,5,1,14,0.2631578947368421,1,0.2,has_upper_tail_color::white,baseline
8,Rhinoceros Auklet,18,0,0,18,0.0,0,,has_upper_tail_color::white,baseline
18,Spotted Catbird,15,0,0,15,0.0,0,,has_upper_tail_color::white,baseline
5,Crested Auklet,14,0,0,14,0.0,0,,has_upper_tail_color::white,baseline
